SrNo,Year,Blast_Day_Type,City,Latitude,Longitude,Province,Location_Sensitivity,Space_Type,Targeted_Sect,Killed,Injured,No_of_suicide_blasts,Explosive_Wt_Kg,Temperature_C,
134,2008,Working Day,Swat,35.2227,72.4258,KPK,High,Open,,2,,1,,16.49,
135,2008,Working Day,Bajaur Agency,34.8718,71.5249,FATA,Low,Open,Sunni,23,31,1,,16.71,
136,2008,Working Day,Peshawar,34.0043,71.5448,KPK,Low,Open,,4,13,1,8,19.17,
137,2008,Working Day,Charsadda,34.1509,71.7359,KPK,High,Closed,,7,10,1,,19.17,
138,2008,Working Day,Swat,35.2227,72.4258,KPK,High,Open,,10,,1,,14.08,
139,2008,Working Day,Bajaur Agency,34.8718,71.5249,FATA,Medium,Closed,Sunni,9,,1,,14.17,
140,2008,Working Day,Buner,34.3943,72.6151,KPK,High,Open,,9,,1,,16.61,
141,2008,Working Day,Swat,35.2227,72.4258,KPK,High,Open,,10,,1,,15.45,
142,2008,Working Day,Charsadda,34.1509,71.7359,KPK,High,Open,,6,8,1,,15.82,
143,2008,Working Day,Orakzai Agency,32.9746,70.1456,KPK,Low,Open,,10,8,1,,12.47,
144,2008,Working Day,Buner,34.3943,72.6151,KPK,Low,Open,,1,,1,,14.39,
145,2008,Holiday,Buner,34.3943,72.6151,KPK,High,Open,,37,,,,11.41,
146,2009,Holiday,D.G Khan,31.8238,70.9095,KPK,High,Open,,10,21,1,10,11.45,
147,2009,Holiday,Bannu,32.9861,70.6042,KPK,High,open,,1,,1,,8.28,
148,2009,Working Day,Swat,35.3833,72.1833,KPK,High,open,,2,11,1,,12.95,
149,2009,Working Day,D.G Khan,30.0500,70.6333,Punjab,Medium,Open,Shiite,32,48,1,,15.11,
150,2009,Working Day,Swat,35.3833,72.1833,KPK,High,open,,12,,,,9.44,
151,2009,Working Day,Khyber Agency,34.0211,71.2874,FATA,Low,Open,Christian,0,,1,,10.32,
152,2009,Working Day,Bannu,32.9861,70.6042,KPK,High,Open,,5,17,1,,14.59,
153,2009,Working Day,D.G Khan,31.8238,70.9095,KPK,Low,Open,Shiite,36,150,1,,15.56,
154,2009,Working Day,Bannu,32.9861,70.6042,KPK,High,Open,,2,,,,14.42,
155,2009,Working Day,Bannu,32.9861,70.6042,KPK,Medium,Closed,,1,,,,15.70,
156,2009,Working Day,Pishin,30.5833,67.0000,Balochistan,Low,Closed,Sunni,6,5,1,,18.76,
157,2009,Working Day,Peshawar,34.0043,71.5448,KPK,Low,Open,,5,,1,,18.38,
158,2009,Working Day,Rawalpindi,33.6058,73.0437,Punjab,Low,Open,,15,16,1,10,20.88,
159,2009,Holiday,Islamabad,33.7180,73.0718,Capital,High,Open,,2,,1,,18.58,
160,2009,Working Day,Tank,32.2260,70.3761,KPK,Low,Open,Sunni,15,,1,,14.31,
161,2009,Working Day,Khyber Agency,34.0211,71.2874,FATA,Medium,Closed,Sunni,76,100,1,,18.60,
162,2009,Working Day,North waziristan,32.9746,70.1456,FATA,High,Open,,4,,1,,14.42,
163,2009,Working Day,Islamabad,33.7180,73.0718,Capital,High,Open,,8,4,1,8,20.17,
164,2009,Working Day,North waziristan,32.9746,70.1456,FATA,High,Open,,8,,1,,15.57,
165,2009,Holiday,Chakwal ,32.9303,72.8556,Punjab,Medium,Closed,Shiite,27,40,1,,20.56,
166,2009,Working Day,Charsadda,34.1509,71.7359,KPK,High,Open,,18,5,1,100,,
167,2009,Working Day,Hangu,33.5351,71.0713,KPK,High,Open,,27,26,1,100,21.18,
168,2009,Working Day,Peshawar,34.0043,71.5448,KPK,High,Open,,11,25,1,85,18.62,
169,2009,Working Day,Dara Adam Khel,33.6854,71.5131,KPK,High,Open,,11,20,1,,25.66,
170,2009,Working Day,Tank,32.2260,70.3761,KPK,High,Open,,9,25,1,,21.54,
171,2009,Working Day,Lahore,31.5451,74.3407,Punjab,High,Open,,27,320,1,125,33.28,
172,2009,Working Day,Peshawar,34.0043,71.5448,KPK,High,Open,,5,3,1,5,34.19,
173,2009,Working Day,D.G Khan,31.8238,70.9095,KPK,High,Open,,5,8,1,160,29.09,
174,2009,Working Day,Upper Dir,35.1977,71.8749,FATA,Medium,Closed,Sunni,40,50,1,,23.36,
175,2009,Working Day,Islamabad,33.7180,73.0718,Capital,High,Closed,,2,4,1,,26.24,
176,2009,Working Day,Peshawar,34.0043,71.5448,KPK,Medium,Closed,,15,50,1,500,29.33,
177,2009,Working Day,Peshawar,34.0043,71.5448,KPK,High,Open,,2,8,1,,30.94,
178,2009,Working Day,Lahore,31.5451,74.3407,Punjab,Medium,Closed,Sunni,7,5,1,24,35.99,
